,name,nation,age,team,year,stage,position,time_in_s,gc,gc_time_in_s,mount_jerseys,point_jerseys,sprint_jerseys,youth_jerseys,followers,total_wins,n_tours,n_stages,avg_year,best_pos_ovr,avg_pos_ovr,worst_pos_ovr,best_time_ovr,avg_time_ovr,worst_time_ovr,best_gc_ovr,avg_gc_ovr,worst_gc_ovr,best_gc_time_ovr,avg_gc_time_ovr,worst_gc_time_ovr,n_top10_ovr,n_win_ovr,best_pos_ovr_l3,avg_pos_ovr_l3,worst_pos_ovr_l3,best_time_ovr_l3,avg_time_ovr_l3,worst_time_ovr_l3,best_gc_ovr_l3,avg_gc_ovr_l3,worst_gc_ovr_l3,best_gc_time_ovr_l3,avg_gc_time_ovr_l3,worst_gc_time_ovr_l3,n_top10_l3,n_win_l3,perc_top10_ovr,perc_win_ovr,2015_div,2015_fc_rank,2015_race_days,2015_team,2015_wins,2015_year_km,2016_div,2016_fc_rank,2016_race_days,2016_team,2016_wins,2016_year_km,2017_div,2017_fc_rank,2017_race_days,2017_team,2017_wins,2017_year_km,2018_div,2018_fc_rank,2018_race_days,2018_team,2018_wins,2018_year_km,date,stage_type_code,dist,finish,temp,rel_humid,wind_dir,wind_speed,clouds_ovrl,visibility,y_label
20,A.Malori,Italy,26,Movistar Team,2014,1,106,20941.0,107,20941.0,0,0,0,1,1,12,1,7,2014.0,2,88.85714285714286,145,1761.0,15832.571428571431,20941.0,72,88.2857142857143,107,20941.0,71420.42857142858,110828.0,1.0,0.0,2,61.0,98,1761.0,12218.666666666664,18091.0,72,78.33333333333333,82,90976.0,103623.66666666669,110828.0,1.0,0.0,0.14285714285714285,0.0,PRT,83.0,74.0,Movistar Team,4.0,10917.6,PRT,999999,5.0,Movistar Team,0.0,648.7,PRT,999999,0.0,Movistar Team,0.0,0.0,NONE,999999,0.0,NONE,0.0,0.0,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
21,A.Zeits,Kazakhstan,28,Astana Pro Team,2014,1,104,20938.0,105,20938.0,0,0,1,0,0,1,4,27,2015.7407407407406,7,64.03703703703704,142,1826.0,14102.962962962964,21754.0,6,59.25925925925926,129,9801.0,57041.222222222226,111005.0,1.0,0.0,19,51.0,91,11789.0,12925.666666666664,13834.0,26,35.666666666666664,47,63078.0,75548.66666666669,88701.0,0.0,0.0,0.037037037037037035,0.0,PRT,478.0,75.0,Astana Pro Team,1.0,11725.9,PRT,334.0,75.0,Astana Pro Team,0.0,11632.1,PRT,657.0,82.0,Astana Pro Team,1.0,13447.4,PRT,523.0,78.0,Astana Pro Team,0.0,12417.2,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
22,E.Boasson Hagen,Norway,27,Team Sky,2014,1,87,20896.0,88,20896.0,1,18,1,6,53,31,2,14,2016.0,9,46.35714285714285,111,1859.0,14269.357142857143,20896.0,14,53.28571428571429,88,10751.0,60253.57142857143,110409.0,1.0,0.0,9,64.0,101,12491.0,13139.666666666664,13774.0,42,58.0,66,63097.0,76015.66666666669,89362.0,1.0,0.0,0.07142857142857142,0.0,PROF,27.0,82.0,MTN - Qhubeka,3.0,13587.2,PRT,17.0,70.0,Dimension Data,7.0,11377.7,PRT,25.0,71.0,Team Dimension Data,9.0,12064.4,PRT,79.0,71.0,Team Dimension Data,1.0,11874.2,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
23,F.Felline,Italy,24,Trek Factory Racing,2014,1,88,20896.0,89,20896.0,0,3,0,2,6,6,3,20,2016.0,4,45.05,91,1788.0,14207.55,21720.0,2,52.4,89,10751.0,57567.15,110239.0,2.0,0.0,23,23.33333333333333,24,11789.0,12695.666666666664,13154.0,23,25.66666666666667,30,63074.0,75314.66666666669,88007.0,0.0,0.0,0.1,0.0,PRT,33.0,72.0,Trek Factory Racing,3.0,12360.9,PRT,73.0,60.0,Trek - Segafredo,0.0,9393.6,PRT,99.0,60.0,Trek - Segafredo,2.0,9811.6,PRT,331.0,75.0,Trek - Segafredo,0.0,10689.5,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
24,B.De Clercq,Belgium,28,Lotto - Belisol,2014,1,89,20896.0,90,20896.0,1,0,0,0,0,0,4,27,2015.4814814814813,1,48.96296296296296,135,1815.0,14352.185185185182,21854.0,1,41.25925925925926,99,9801.0,58011.59259259259,109632.0,2.0,1.0,16,18.0,20,10784.0,13767.0,18081.0,13,14.333333333333336,15,67331.0,83530.33333333331,97848.0,0.0,0.0,0.07407407407407407,0.037037037037037035,PRT,129.0,67.0,Lotto - Soudal,1.0,10472.7,PRT,204.0,65.0,Lotto - Soudal,0.0,9774.1,PRT,592.0,73.0,Lotto - Soudal,0.0,11647.7,PROF,999999,0.0,Wanty - Groupe Gobert,0.0,0.0,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
25,N.Sørensen,Denmark,39,Tinkoff - Saxo,2014,1,90,20896.0,91,20896.0,1,0,0,0,0,10,1,7,2014.0,52,86.42857142857143,154,1867.0,15862.714285714286,20896.0,78,93.28571428571428,106,20896.0,71521.28571428571,111054.0,0.0,0.0,52,80.33333333333333,105,1867.0,12254.0,18091.0,78,82.66666666666667,87,91081.0,103769.0,111054.0,0.0,0.0,0.0,0.0,NONE,999999,0.0,NONE,0.0,0.0,NONE,999999,0.0,NONE,0.0,0.0,NONE,999999,0.0,NONE,0.0,0.0,NONE,999999,0.0,NONE,0.0,0.0,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
26,S.Cummings,Great Britain,33,BMC Racing Team,2014,1,91,20896.0,92,20896.0,0,0,0,0,3,7,1,7,2014.0,3,81.85714285714286,134,1768.0,15813.857142857143,20896.0,64,76.0,92,20896.0,71336.57142857142,110697.0,1.0,0.0,3,64.66666666666667,112,1768.0,12190.0,18091.0,64,68.66666666666667,74,90838.0,103488.0,110697.0,1.0,0.0,0.14285714285714285,0.0,PROF,107.0,79.0,MTN - Qhubeka,2.0,12198.9,PRT,121.0,57.0,Dimension Data,5.0,8974.3,PRT,1209.0,38.0,Team Dimension Data,1.0,6473.9,PRT,1903.0,60.0,Team Dimension Data,0.0,9201.7,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
27,P.Bernas,Poland,24,BDC - Marcpol Team,2014,1,92,20896.0,93,20896.0,0,1,0,0,2,9,3,20,2015.35,69,210.1,999,1942.0,113991.65,999999.0,92,213.35,999,10148.0,149816.85,999999.0,0.0,0.0,69,397.0,999,11531.0,343511.0,999999.0,125,423.0,999,70787.0,386858.66666666674,999999.0,0.0,0.0,0.0,0.0,CONT,486.0,46.0,ActiveJet Team,6.0,7528.7,PROF,4104.0,11.0,Verva - ActiveJet Pro Cycling Team,0.0,1552.2,CONT,441.0,39.0,Domin Sport,0.0,5882.3,PROF,383.0,66.0,CCC Sprandi Polkowice,0.0,10360.1,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
28,E.Vorganov,Russia,32,Team Katusha,2014,1,93,20905.0,94,20905.0,2,1,0,0,0,6,2,14,2014.5,15,42.142857142857146,93,1863.0,14598.214285714286,21046.0,18,48.78571428571429,94,9801.0,62965.57142857143,109902.0,0.0,0.0,15,27.66666666666667,40,1863.0,13350.0,21046.0,18,19.33333333333333,20,75469.0,87517.33333333331,94473.0,0.0,0.0,0.0,0.0,PRT,354.0,73.0,Team Katusha,0.0,11811.7,PRT,3688.0,3.0,Team Katusha,0.0,353.0,CONT,573.0,57.0,Minsk Cycling Club,0.0,7837.8,CONT,580.0,66.0,Minsk Cycling Club,2.0,8419.0,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
29,G.Izagirre,Spain,27,Movistar Team,2014,1,94,20905.0,95,20905.0,0,0,0,1,2,5,2,14,2015.5,5,49.42857142857143,125,1780.0,14804.142857142857,20905.0,11,45.85714285714285,95,10576.0,62325.42857142857,109415.0,1.0,0.0,17,20.33333333333333,25,10784.0,13767.0,18081.0,11,13.0,14,67326.0,83525.33333333331,97843.0,0.0,0.0,0.07142857142857142,0.0,PRT,182.0,70.0,Movistar Team,0.0,11224.9,PRT,109.0,75.0,Movistar Team,0.0,11780.0,PRT,100.0,76.0,Movistar Team,2.0,11895.0,PRT,65.0,89.0,Bahrain - Merida,0.0,13573.6,2014-08-03,1,226.0,Bydgoszcz,31.5,38,ESE,2,6,9,0
