,2015_div,2015_fc_rank,2015_race_days,2015_team,2015_uci_rank,2015_wins,2015_year_km,2016_div,2016_fc_rank,2016_race_days,2016_team,2016_uci_rank,2016_wins,2016_year_km,2017_div,2017_fc_rank,2017_race_days,2017_team,2017_uci_rank,2017_wins,2017_year_km,2018_div,2018_fc_rank,2018_race_days,2018_team,2018_uci_rank,2018_wins,2018_year_km,followers,height,mount_jerseys,nation,point_jerseys,sprint_jerseys,total_wins,youth_jerseys,name
52,PRT,598,87.0,Lampre - Merida,196,0.0,14083.7,PRT,375,80.0,Lampre - Merida,-,0.0,12795.0,PRT,260,56.0,UAE Team Emirates,215,0.0,9352.6,PRT,943,62.0,UAE Team Emirates,350,0.0,9071.1,2,1.73,0,Italy,0,0,12,0,R.Ferrari
53,PRT,816.0,52.0,Tinkoff - Saxo,-,0.0,7461.7,PROF,1199.0,55.0,Team Roth,-,0.0,7640.4,,,,,,,,,,,,,,,0,1.74,1,Portugal,0,0,1,0,B.Silva Pires
54,PRT,2492,68.0,Tinkoff - Saxo,-,0.0,10699.5,PRT,-,64.0,Tinkoff,-,0.0,10051.5,,,,,,,,,,,,,,,0,1.81,0,Russia,0,0,8,1,E.Petrov
55,PRT,2392.0,55.0,Movistar Team,-,0.0,8102.6,PRT,1609.0,54.0,Astana Pro Team,-,0.0,8406.0,PRT,2218.0,68.0,Quick-Step Floors,383,0.0,10760.2,PRT,654.0,64.0,Quick-Step Floors,201,0.0,10154.1,1,1.83,1,Italy,1,0,2,0,E.Capecchi
56,PRT,369,77.0,AG2R La Mondiale,-,0.0,12688.6,PRT,310,73.0,AG2R La Mondiale,-,0.0,11575.1,PRT,585,73.0,AG2R La Mondiale,299,0.0,11822.1,PRT,336,43.0,AG2R La Mondiale,373,0.0,6869.0,1,1.85,0,Lithuania,1,0,15,1,G.Bagdonas
57,PROF,772.0,68.0,CCC Sprandi Polkowice,-,0.0,11018.7,PROF,1514.0,43.0,CCC Sprandi Polkowice,-,0.0,6562.4,,,,,,,,,,,,,,,1,1.78,0,Poland,0,0,0,0,S.Szmyd
58,PRT,673.0,72.0,AG2R La Mondiale,182,0.0,11011.3,PRT,633.0,63.0,AG2R La Mondiale,-,0.0,9168.9,,,,,,,,,,,,,,,0,1.87,0,Germany,0,0,2,0,V.Breen
59,PRT,89.0,83.0,Team Cannondale - Garmin,45,0.0,13087.2,PRT,822.0,58.0,Trek - Segafredo,-,0.0,9125.1,,,,,,,,,,,,,,,6,1.88,1,Canada,0,0,3,0,R.Hesjedal
60,CONT,942.0,29.0,Whistle Team Ziemia Brezeska,-,1.0,4636.0,CONT,1028.0,40.0,Whirlpool - Author,-,0.0,5750.2,CONT,939.0,30.0,Team Hurom,-,0.0,4088.1,CONT,1183.0,28.0,Wibatech Merx 7R,-,0.0,3268.9,0,,0,Poland,0,0,4,0,B.Warchol
61,PROF,126.0,62.0,Team Roompot - Oranje Peloton,-,0.0,10090.7,PROF,177.0,56.0,Roompot - Oranje Peloton,-,0.0,8698.4,PROF,279.0,59.0,Roompot - Nederlandse Loterij,-,0.0,9623.6,CONT,596.0,39.0,Team Ukyo,-,3.0,5485.8,2,1.77,0,Netherlands,2,0,3,0,R.Kreder
62,CONT,414.0,55.0,ActiveJet Team,-,0.0,8955.3,PROF,366.0,45.0,Verva - ActiveJet Pro Cycling Team,-,2.0,7338.6,CONT,481.0,33.0,Team Hurom,-,0.0,4805.2,PROF,591.0,48.0,CCC Sprandi Polkowice,-,0.0,7105.3,2,,0,Poland,2,0,5,0,P.Franczak
63,PRT,1642.0,44.0,IAM Cycling,-,0.0,6470.5,PRT,1013.0,47.0,IAM Cycling,-,0.0,7504.4,CONT,2020.0,38.0,Roth - Akros,-,0.0,5759.0,,,,,,,,1,,0,Switzerland,0,0,1,0,M.Cattaneo
64,PROF,1296.0,79.0,CCC Sprandi Polkowice,-,0.0,12979.4,PROF,937.0,54.0,CCC Sprandi Polkowice,-,0.0,7976.4,PROF,1237.0,54.0,CCC Sprandi Polkowice,-,0.0,8277.5,CONT,538.0,48.0,Minsk Cycling Club,-,4.0,6433.7,0,,0,Belarus,0,0,13,0,B.Samoilau
65,PRT,74,72.0,Movistar Team,53,1.0,11515.5,PRT,643,13.0,Team Sky,-,0.0,1778.0,PRT,-,1.0,Team Sky,-,0.0,107.4,PRT,1999,1.0,Team Sky,-,0.0,79.2,4,1.75,0,Spain,1,0,2,0,B.Intxausti
66,PRT,637,84.0,Team Cannondale - Garmin,-,0.0,13392.9,PRT,182,68.0,Cannondale - Drapac Pro Cycling,81,1.0,10458.1,PRT,235,78.0,Cannondale - Drapac Pro Cycling,152,0.0,12737.9,PRT,355,76.0,Astana Pro Team,208,2.0,12227.5,3,1.82,2,Italy,3,0,10,1,D.Villella
67,PROF,146,83.0,MTN - Qhubeka,-,0.0,13376.1,PRT,214,63.0,Dimension Data,146,0.0,10469.7,PRT,163,78.0,Team Dimension Data,164,2.0,12536.1,PRT,261,62.0,Team Dimension Data,194,0.0,9730.1,3,1.78,1,Belgium,0,0,1,0,S.Pauwels
68,PRT,3301,56.0,Movistar Team,-,0.0,8590.4,PRT,1999,84.0,Movistar Team,-,0.0,13063.7,PRT,676,70.0,Movistar Team,364,1.0,11518.6,PRT,-,52.0,UAE Team Emirates,-,0.0,8225.9,0,1.88,1,Australia,0,0,8,1,R.Sutherland
69,PRT,55,86.0,Lampre - Merida,86,6.0,13407.0,PRT,88,72.0,Lampre - Merida,127,3.0,11494.1,PRT,66,86.0,UAE Team Emirates,98,4.0,14071.1,PRT,115,63.0,Team EF Education First - Drapac,98,1.0,10337.2,2,1.80,0,Italy,6,0,24,0,P.Deignan
70,PRT,518.0,71.0,AG2R La Mondiale,101,0.0,10722.5,PRT,1410.0,79.0,AG2R La Mondiale,-,0.0,11506.4,PRT,830.0,54.0,AG2R La Mondiale,-,0.0,8260.1,,,,,,,,0,1.80,1,France,0,0,5,0,C.Riblon
71,CONT,576.0,33.0,Domin Sport,-,2.0,4799.4,CONT,813.0,33.0,Dare 2B,-,0.0,4842.0,CONT,388.0,33.0,Domin Sport,-,7.0,4648.0,CONT,1041.0,53.0,Team Hurom,-,1.0,7057.1,0,,0,Poland,2,0,8,0,K.Zielinski
72,PRT,1869,82.0,Team Giant - Alpecin,-,0.0,12686.8,PRT,1340,86.0,Team Giant - Alpecin,-,0.0,13119.6,PRT,3265,82.0,Team Sunweb,418,0.0,12586.1,PRT,2618,75.0,Team Sunweb,-,0.0,11320.4,0,1.73,0,Germany,0,0,0,0,J.Fröhlinger
73,PRT,74,72.0,Movistar Team,53,1.0,11515.5,PRT,643,13.0,Team Sky,-,0.0,1778.0,PRT,-,1.0,Team Sky,-,0.0,107.4,PRT,1999,1.0,Team Sky,-,0.0,79.2,4,1.75,0,Spain,1,0,2,0,K.Vandewalle
74,PRT,122,72.0,FDJ,84,3.0,11491.1,PRT,179,56.0,FDJ,132,2.0,8103.5,PRT,135,55.0,AG2R La Mondiale,321,3.0,8747.8,PRT,105,72.0,AG2R La Mondiale,115,4.0,11062.0,3,1.83,0,France,1,0,6,3,A.Geniez
75,CONT,1173,11.0,ActiveJet Team,-,0.0,1755.0,,,,,,,,,,,,,,,,,,,,,,0,,0,Poland,0,0,2,0,K.Dabkowski
76,CONT,971.0,48.0,Team Felbermayr - Simplon Wels,-,0.0,7418.5,PROF,1759.0,87.0,Team Roth,-,0.0,13300.6,CONT,1043.0,51.0,Tirol Cycling Team,-,1.0,7486.9,CONT,799.0,53.0,Team Felbermayr - Simplon Wels,-,0.0,7435.0,0,1.85,1,Austria,0,1,4,0,M.Krizek
77,PROF,1058,43.0,Team Europcar,-,0.0,6525.4,,-,0.0,U.V.Limousine,-,0.0,0.0,,-,0.0,U.V.Limousine,-,0.0,0.0,,,,,,,,0,1.73,2,France,0,0,5,0,M.Mederel
78,PRT,229,74.0,Etixx - Quick Step,-,2.0,12096.6,PRT,52,70.0,Etixx - Quick Step,169,3.0,11802.0,PRT,166,59.0,Quick-Step Floors,88,0.0,9780.5,PRT,-,0.0,Quick-Step Floors,-,0.0,0.0,5,1.79,0,Czech Republic,1,0,8,4,P.Vakoc
79,,,,,,,,CONT,979,60.0,Klein Constantia,-,0.0,7686.8,CONT,788,61.0,An Post - Chainreaction,-,2.0,9655.8,PROF,1363,60.0,Delko Marseille - Provence KTM,-,0.0,9332.9,3,,1,Poland,0,1,0,0,P.Kasperkiewicz
80,PROF,798.0,45.0,CCC Sprandi Polkowice,-,1.0,6919.1,PROF,733.0,50.0,CCC Sprandi Polkowice,-,3.0,7451.8,PROF,957.0,45.0,CCC Sprandi Polkowice,-,0.0,6915.3,PROF,518.0,58.0,CCC Sprandi Polkowice,-,3.0,7425.7,0,,1,Poland,0,0,9,0,M.Taciak
81,PRT,44,75.0,Team Katusha,27,2.0,11457.6,PRT,31,69.0,Team Katusha,13,2.0,11175.6,PRT,12,85.0,Team Katusha - Alpecin,15,0.0,13216.5,PRT,89,75.0,Team Katusha - Alpecin,76,0.0,11601.0,6,,1,Russia,2,0,9,0,I.Zakarin
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.85,0,France,0,1,4,0,C.Kern
83,PRT,218,69.0,Lotto - Soudal,-,2.0,11267.7,PRT,325,73.0,Lotto - Soudal,-,0.0,12359.2,PROF,206,78.0,Roompot - Nederlandse Loterij,-,0.0,13043.3,PROF,241,39.0,Roompot - Nederlandse Loterij,-,0.0,7045.7,2,1.81,3,Netherlands,0,0,4,1,P.Ligthart
84,PRT,60,68.0,Team Sky,81,2.0,10986.4,PRT,42,66.0,Team Sky,28,6.0,10445.6,PRT,50,51.0,Team Sky,46,1.0,7951.6,PRT,82,67.0,Team Sky,143,3.0,10630.5,8,1.86,1,Netherlands,3,0,4,3,W.Poels
85,PROF,1154.0,57.0,Team Europcar,-,0.0,8990.7,,,,,,,,,,,,,,,,,,,,,,0,,1,France,0,0,0,0,G.Bernaudeau
86,PROF,27,82.0,MTN - Qhubeka,-,3.0,13587.2,PRT,17,70.0,Dimension Data,66,7.0,11377.7,PRT,25,71.0,Team Dimension Data,74,9.0,12064.4,PRT,79,71.0,Team Dimension Data,74,1.0,11874.2,53,1.81,1,Norway,18,1,31,6,E.Boasson Hagen
87,PRT,33,72.0,Trek Factory Racing,60,3.0,12360.9,PRT,73,60.0,Trek - Segafredo,47,0.0,9393.6,PRT,99,60.0,Trek - Segafredo,53,2.0,9811.6,PRT,331,75.0,Trek - Segafredo,149,0.0,10689.5,6,1.75,0,Italy,3,0,6,2,F.Felline
88,PRT,129,67.0,Lotto - Soudal,42,1.0,10472.7,PRT,204,65.0,Lotto - Soudal,-,0.0,9774.1,PRT,592,73.0,Lotto - Soudal,266,0.0,11647.7,PROF,-,0.0,Wanty - Groupe Gobert,-,0.0,0.0,0,1.83,1,Belgium,0,0,0,0,B.De Clercq
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.82,1,Denmark,0,0,10,0,N.Sørensen
90,PROF,107.0,79.0,MTN - Qhubeka,-,2.0,12198.9,PRT,121.0,57.0,Dimension Data,99,5.0,8974.3,PRT,1209.0,38.0,Team Dimension Data,374,1.0,6473.9,PRT,1903.0,60.0,Team Dimension Data,-,0.0,9201.7,3,1.90,0,Great Britain,0,0,7,0,S.Cummings
91,CONT,486.0,46.0,ActiveJet Team,-,6.0,7528.7,PROF,4104.0,11.0,Verva - ActiveJet Pro Cycling Team,-,0.0,1552.2,CONT,441.0,39.0,Domin Sport,-,0.0,5882.3,PROF,383.0,66.0,CCC Sprandi Polkowice,-,0.0,10360.1,2,,0,Poland,1,0,9,0,P.Bernas
92,PRT,354.0,73.0,Team Katusha,-,0.0,11811.7,PRT,3688.0,3.0,Team Katusha,-,0.0,353.0,CONT,573.0,57.0,Minsk Cycling Club,-,0.0,7837.8,CONT,580.0,66.0,Minsk Cycling Club,-,2.0,8419.0,0,1.77,2,Russia,1,0,6,0,E.Vorganov
93,PRT,182,70.0,Movistar Team,94,0.0,11224.9,PRT,109,75.0,Movistar Team,220,0.0,11780.0,PRT,100,76.0,Movistar Team,81,2.0,11895.0,PRT,65,89.0,Bahrain - Merida,58,0.0,13573.6,2,1.76,0,Spain,0,0,5,1,G.Izagirre
94,PRT,668.0,61.0,Team Giant - Alpecin,-,0.0,9332.5,PRT,385.0,91.0,Team Giant - Alpecin,175,0.0,14160.5,PRT,588.0,74.0,FDJ,347,0.0,11500.6,PRT,1267.0,58.0,Groupama - FDJ,388,0.0,8724.4,1,1.94,0,Sweden,0,0,4,3,T.Ludvigsson
95,PRT,231.0,81.0,Team Katusha,182,0.0,13619.8,PRT,391.0,83.0,Team Katusha,123,1.0,12945.1,PROF,1364.0,65.0,Gazprom - RusVelo,-,0.0,11106.7,PROF,2437.0,50.0,Gazprom - RusVelo,-,0.0,8538.6,0,,0,Uzbekistan,2,1,9,0,S.Lagutin
96,PROF,718.0,70.0,Team Europcar,-,0.0,10914.0,,,,,,,,,,,,,,,,,,,,,,0,1.87,1,France,0,0,2,1,J.Engoulvent
97,PRT,390.0,36.0,Orica - GreenEDGE,-,0.0,5650.1,CONT,903.0,40.0,Sky Dive Dubai,-,0.0,5439.9,PROF,313.0,77.0,Nippo - Vini Fantini,-,0.0,11612.8,PROF,344.0,62.0,Nippo Vini Fantini - Europa Ovini,-,0.0,9481.2,1,1.76,0,Italy,0,0,3,0,I.Santaromita
98,PROF,798.0,59.0,RusVelo,-,1.0,8699.5,CONT,1212.0,52.0,GM Europa Ovini,-,0.0,7191.4,CONT,765.0,47.0,Torku Seker Spor,-,3.0,6809.6,CONT,664.0,47.0,Torku Seker Spor,-,2.0,6360.1,1,,1,Russia,0,0,6,0,I.Balykin
99,PRT,55,86.0,Lampre - Merida,86,6.0,13407.0,PRT,88,72.0,Lampre - Merida,127,3.0,11494.1,PRT,66,86.0,UAE Team Emirates,98,4.0,14071.1,PRT,115,63.0,Team EF Education First - Drapac,98,1.0,10337.2,2,1.80,0,Italy,6,0,24,0,S.Modolo
100,PRT,233,45.0,Team Sky,-,2.0,7793.9,PRT,461,50.0,Team Sky,-,0.0,8408.3,PROF,-,24.0,Aqua Blue Sport,-,0.0,3558.4,,,,,,,,6,1.76,1,Norway,1,0,6,0,L.Petter Nordhaug
101,PRT,112,67.0,Trek Factory Racing,81,2.0,10203.4,PRT,38,65.0,Etixx - Quick Step,25,2.0,9590.6,PRT,49,77.0,Quick-Step Floors,57,1.0,12145.5,PRT,36,71.0,Quick-Step Floors,56,3.0,10967.5,10,1.89,0,Luxembourg,0,0,29,7,B.Jungels
102,PRT,366,72.0,Astana Pro Team,-,0.0,11496.6,PRT,260,67.0,Astana Pro Team,139,0.0,10051.1,PRT,260,66.0,Astana Pro Team,200,0.0,10674.1,PRT,406,71.0,Astana Pro Team,252,0.0,10596.2,1,1.75,2,Italy,1,0,4,1,D.Cataldo
103,PRT,478.0,75.0,Astana Pro Team,-,1.0,11725.9,PRT,334.0,75.0,Astana Pro Team,115,0.0,11632.1,PRT,657.0,82.0,Astana Pro Team,197,1.0,13447.4,PRT,523.0,78.0,Astana Pro Team,264,0.0,12417.2,0,1.78,0,Kazakhstan,0,1,1,0,A.Zeits
104,PRT,591,74.0,IAM Cycling,-,0.0,11508.7,PRT,409,66.0,IAM Cycling,109,0.0,10874.6,PROF,445,52.0,Aqua Blue Sport,-,1.0,7885.6,PROF,520,50.0,Aqua Blue Sport,-,0.0,8191.2,2,1.83,0,USA,0,0,1,0,L.Warbasse
105,PRT,83,74.0,Movistar Team,137,4.0,10917.6,PRT,-,5.0,Movistar Team,-,0.0,648.7,PRT,-,0.0,Movistar Team,-,0.0,0.0,,,,,,,,1,1.82,0,Italy,0,0,12,1,A.Malori
106,PRT,-,68.0,FDJ,-,0.0,10695.4,PRT,-,49.0,FDJ,-,0.0,7937.7,,,,,,,,,-,0.0,Ind-Brasil,-,0.0,0.0,0,1.71,0,Brazil,1,0,11,0,M.Fischer
107,PRT,715,83.0,Lotto - Soudal,-,0.0,12891.2,PRT,238,81.0,Lotto - Soudal,102,2.0,12539.3,PRT,307,86.0,Lotto - Soudal,113,2.0,13335.0,PRT,364,82.0,Lotto - Soudal,122,2.0,12061.0,4,1.79,11,Belgium,1,4,8,1,T.De Gendt
108,PRT,1262.0,63.0,Team Katusha,196,0.0,9381.0,PRT,2618.0,72.0,Team Katusha,-,0.0,10772.9,PRT,4194.0,86.0,Team Katusha - Alpecin,-,0.0,14065.0,PRT,3348.0,55.0,Team Katusha - Alpecin,-,0.0,8625.8,0,1.84,2,Russia,0,2,5,0,M.Belkov
109,PRT,72,64.0,Movistar Team,133,3.0,10538.8,PRT,129,51.0,Movistar Team,-,4.0,7686.5,PRT,172,72.0,Team LottoNL - Jumbo,126,1.0,11221.3,PROF,203,38.0,Nippo Vini Fantini - Europa Ovini,-,1.0,6144.9,5,1.73,0,Spain,1,0,4,0,B.Lancaster
110,PRT,1110.0,72.0,Orica - GreenEDGE,-,0.0,10575.5,PRT,2731.0,73.0,Orica - BikeExchange,-,0.0,11483.7,PRT,3265.0,61.0,Orica - Scott,-,0.0,8896.4,PRT,2047.0,46.0,Mitchelton - Scott,-,1.0,6706.1,1,1.79,0,New Zealand,0,0,1,0,S.Bewley
111,PRT,354.0,45.0,Team Katusha,-,1.0,6533.8,PRT,404.0,78.0,Team Katusha,220,2.0,11419.1,PROF,1862.0,53.0,Gazprom - RusVelo,-,0.0,8027.2,,1436.0,38.0,Moscow Region,-,1.0,5136.5,0,1.80,1,Russia,1,0,7,0,A.Vorobyev
112,PROF,899.0,58.0,RusVelo,-,1.0,8343.1,PROF,773.0,76.0,Gazprom - RusVelo,-,0.0,12689.4,PROF,2672.0,51.0,Gazprom - RusVelo,-,0.0,8098.1,,,,,,,,0,,0,Russia,0,0,6,0,A.Solomennikov
113,PRT,254.0,83.0,Team Giant - Alpecin,146.0,1.0,13206.6,PRT,372.0,62.0,Orica - BikeExchange,175.0,0.0,10295.6,PRT,144.0,69.0,Orica - Scott,187.0,2.0,11838.3,PRT,355.0,70.0,Mitchelton - Scott,183.0,1.0,10513.0,3,1.83,0,Slovenia,2,0,8,1,L.Mezgec
114,PRT,524,62.0,AG2R La Mondiale,-,1.0,9615.2,PRT,472,80.0,AG2R La Mondiale,-,0.0,12453.0,PRT,631,82.0,AG2R La Mondiale,234,0.0,12771.7,PRT,224,58.0,Astana Pro Team,197,0.0,9027.8,0,1.85,0,Canada,0,0,0,0,H.Houle
115,PRT,2492,85.0,Lampre - Merida,-,0.0,13335.1,PRT,2215,76.0,Lampre - Merida,-,0.0,12367.6,PRT,-,59.0,UAE Team Emirates,396,0.0,9447.1,PRT,1459,44.0,UAE Team Emirates,285,0.0,6294.9,1,1.74,0,Italy,0,0,1,0,M.Bono
116,PRT,249,71.0,Team Giant - Alpecin,-,1.0,11254.2,PRT,99,70.0,Team Giant - Alpecin,99,1.0,11537.7,PRT,200,56.0,Team Sunweb,96,1.0,9286.0,PRT,327,67.0,Team Sunweb,121,0.0,10222.1,4,1.88,0,Germany,2,0,4,1,N.Arndt
117,PRT,1058,53.0,Orica - GreenEDGE,-,0.0,8648.6,PRT,1372,42.0,Orica - BikeExchange,-,0.0,6785.0,PRT,640,47.0,Orica - Scott,214,0.0,7897.5,PRT,3348,79.0,Team EF Education First - Drapac,-,0.0,12688.5,1,1.80,0,Australia,0,1,0,0,M.Docker
118,PROF,995,44.0,Bora - Argon 18,-,0.0,7264.9,PROF,2350,53.0,Wanty - Groupe Gobert,-,0.0,8431.0,CONT,765,29.0,Kuwait - Cartucho,-,0.0,4255.3,CONT,-,0.0,Holdsworth Racing,-,0.0,0.0,0,1.93,2,Germany,0,0,1,2,B.Thurau
119,PROF,499,63.0,CCC Sprandi Polkowice,-,0.0,9968.3,PROF,532,55.0,CCC Sprandi Polkowice,-,2.0,8634.1,PROF,156,70.0,CCC Sprandi Polkowice,-,0.0,10990.5,PRT,495,70.0,Astana Pro Team,280,0.0,11495.9,3,,0,Czech Republic,0,0,2,1,Y.Popovych
120,CONT,685.0,16.0,NFTO,-,2.0,2262.9,PROF,261.0,66.0,ONE Pro Cycling,-,2.0,9626.6,CONT,808.0,22.0,ONE Pro Cycling,-,0.0,3436.4,CONT,673.0,31.0,Bennelong - Swisswellness,-,1.0,4250.0,2,1.80,0,Australia,1,0,7,0,A.Rybakov
121,PRT,1558.0,53.0,AG2R La Mondiale,-,0.0,8261.6,PRT,1441.0,60.0,AG2R La Mondiale,-,0.0,9878.6,PROF,2573.0,67.0,"Cofidis, Solutions Credits",-,0.0,10565.1,PROF,2529.0,34.0,"Cofidis, Solutions Credits",-,0.0,5724.0,0,1.84,0,France,0,0,3,0,S.von Hoff
122,PRT,178.0,82.0,BMC Racing Team,88,0.0,12995.7,PRT,67.0,83.0,BMC Racing Team,63,1.0,13089.3,PRT,298.0,76.0,UAE Team Emirates,135,0.0,12256.0,PRT,1351.0,73.0,UAE Team Emirates,354,0.0,11317.6,3,1.67,2,Colombia,0,0,1,4,G.Bonnafond
123,PRT,242.0,66.0,Team Sky,-,0.0,10081.7,PRT,234.0,65.0,Dimension Data,94,0.0,10130.2,PRT,547.0,47.0,Bahrain - Merida,331,0.0,7572.6,PRT,311.0,29.0,Bahrain - Merida,318,2.0,4394.9,2,1.84,1,Belarus,0,0,11,1,D.Boucher
124,PRT,242.0,66.0,Team Sky,-,0.0,10081.7,PRT,234.0,65.0,Dimension Data,94,0.0,10130.2,PRT,547.0,47.0,Bahrain - Merida,331,0.0,7572.6,PRT,311.0,29.0,Bahrain - Merida,318,2.0,4394.9,2,1.84,1,Belarus,0,0,11,1,K.Sivtsov
125,PRT,369.0,85.0,Team Sky,148,0.0,13458.0,PRT,660.0,74.0,Team Sky,190,0.0,11459.0,PRT,1022.0,85.0,Team Sky,347,0.0,13666.3,PRT,1363.0,75.0,Team Sky,308,0.0,11749.3,0,1.82,0,Italy,1,0,4,0,S.Puccio
126,PRT,549.0,76.0,Team Katusha,148,1.0,12166.7,PRT,174.0,43.0,Team Katusha,162,0.0,6792.9,PRT,233.0,83.0,Astana Pro Team,145,0.0,12714.5,PRT,139.0,63.0,Astana Pro Team,191,1.0,9930.7,1,1.76,0,Russia,2,0,3,3,S.Chernetski
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1.83,0,Norway,16,1,26,2,D.Tanner
128,PRT,3535,40.0,Tinkoff - Saxo,-,0.0,6371.0,PRT,-,73.0,Tinkoff,-,0.0,11251.9,PRT,1901,72.0,Trek - Segafredo,308,0.0,11245.7,,,,,,,,0,1.70,0,Spain,0,0,0,0,T.Hushovd
129,PRT,3535,40.0,Tinkoff - Saxo,-,0.0,6371.0,PRT,-,73.0,Tinkoff,-,0.0,11251.9,PRT,1901,72.0,Trek - Segafredo,308,0.0,11245.7,,,,,,,,0,1.70,0,Spain,0,0,0,0,J.Hernández
130,PRT,278,82.0,Team Cannondale - Garmin,174,1.0,12200.5,PRT,216,78.0,Cannondale - Drapac Pro Cycling,132,0.0,11755.5,PRT,2795,29.0,Astana Pro Team,396,0.0,4603.9,PRT,854,39.0,Astana Pro Team,-,1.0,5947.6,3,1.77,0,Italy,0,0,14,0,J.Arredondo
131,PRT,278,82.0,Team Cannondale - Garmin,174,1.0,12200.5,PRT,216,78.0,Cannondale - Drapac Pro Cycling,132,0.0,11755.5,PRT,2795,29.0,Astana Pro Team,396,0.0,4603.9,PRT,854,39.0,Astana Pro Team,-,1.0,5947.6,3,1.77,0,Italy,0,0,14,0,M.Moser
132,PROF,180.0,75.0,Southeast - Yellow Fluo,-,0.0,12391.6,PROF,57.0,67.0,Androni Giocattoli - Sidermec,-,2.0,10689.2,PROF,84.0,73.0,Androni - Sidermec - Bottecchia,-,0.0,11541.3,PROF,145.0,63.0,Androni - Sidermec - Bottecchia,-,1.0,10013.2,1,1.72,0,Italy,0,0,7,0,P.Lecuisinier
133,PRT,569,72.0,Team Katusha,174,0.0,11779.9,PRT,237,75.0,Team Katusha,152,0.0,12795.0,PRT,2269,53.0,FDJ,-,0.0,8635.7,PRT,854,52.0,Groupama - FDJ,273,0.0,8394.8,0,1.89,0,Italy,0,0,14,0,F.Gavazzi
134,PROF,398,83.0,MTN - Qhubeka,-,0.0,13200.1,PRT,-,78.0,Dimension Data,-,0.0,11988.8,PRT,-,50.0,Team Dimension Data,-,0.0,7858.2,,,,,,,,0,1.83,0,USA,8,0,11,1,J.Guarnieri
135,PROF,398,83.0,MTN - Qhubeka,-,0.0,13200.1,PRT,-,78.0,Dimension Data,-,0.0,11988.8,PRT,-,50.0,Team Dimension Data,-,0.0,7858.2,,,,,,,,0,1.83,0,USA,8,0,11,1,T.Farrar
136,PRT,22,68.0,Orica - GreenEDGE,20,5.0,10813.9,PRT,29,57.0,Orica - BikeExchange,21,4.0,9361.1,PRT,13,61.0,Team Sunweb,9,5.0,10183.5,PRT,27,41.0,Team Sunweb,7,4.0,6803.7,7,1.80,0,Australia,8,0,9,1,C.Meyer
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.95,1,France,0,0,3,0,M.Matthews
138,PRT,1428.0,60.0,Team LottoNL-Jumbo,182,0.0,9257.8,,,,,,,,,,,,,,,,,,,,,,0,1.87,0,Netherlands,0,0,3,1,L.Mangel
139,PRT,788.0,74.0,Team Katusha,182,0.0,11465.5,PRT,635.0,83.0,Astana Pro Team,-,0.0,12134.4,PROF,2479.0,52.0,Delko Marseille - Provence KTM,-,0.0,8715.7,PROF,1436.0,53.0,Delko Marseille - Provence KTM,-,0.0,8398.9,1,1.88,0,Latvia,0,0,17,0,R.Flens
140,CONT,759.0,50.0,ActiveJet Team,-,0.0,7996.5,PROF,1024.0,41.0,Verva - ActiveJet Pro Cycling Team,-,0.0,6385.4,CONT,891.0,31.0,ONE Pro Cycling,-,1.0,4864.5,PROF,406.0,73.0,CCC Sprandi Polkowice,-,0.0,10643.0,1,,0,Poland,0,1,7,0,K.Gradek
141,PRT,1610,57.0,Trek Factory Racing,-,0.0,9537.2,PRT,1002,60.0,Trek - Segafredo,-,0.0,8957.6,PRT,1431,51.0,Trek - Segafredo,364,0.0,7956.2,PRT,643,43.0,Trek - Segafredo,388,1.0,5804.0,0,1.80,1,Japan,1,0,7,0,F.Beppu
142,PRT,72,64.0,Movistar Team,133,3.0,10538.8,PRT,129,51.0,Movistar Team,-,4.0,7686.5,PRT,172,72.0,Team LottoNL - Jumbo,126,1.0,11221.3,PROF,203,38.0,Nippo Vini Fantini - Europa Ovini,-,1.0,6144.9,5,1.73,0,Spain,1,0,4,0,D.Appollonio
143,PRT,-,68.0,FDJ,-,0.0,10695.4,PRT,-,49.0,FDJ,-,0.0,7937.7,,,,,,,,,-,0.0,Ind-Brasil,-,0.0,0.0,0,1.71,0,Brazil,1,0,11,0,J.Jose Lobato Del Valle
144,PROF,2590.0,19.0,RusVelo,-,0.0,2893.6,,,,,,,,,,,,,,,,,,,,,,0,1.80,1,Russia,0,1,1,0,A.Kamyshev
145,PROF,909,75.0,Team Europcar,-,0.0,11777.7,PROF,1423,77.0,"Cofidis, Solutions Credits",-,0.0,12053.2,PROF,1489,31.0,"Cofidis, Solutions Credits",-,0.0,4616.4,PROF,922,65.0,Direct Energie,-,1.0,10309.1,0,1.80,0,France,1,0,1,2,P.Ignatenko
146,PRT,212,57.0,Astana Pro Team,116,2.0,8949.0,PRT,1999,58.0,Astana Pro Team,-,0.0,9026.2,PRT,-,47.0,Astana Pro Team,396,0.0,7555.9,,,,,,,,0,1.68,1,Italy,0,0,2,0,J.Cousin
