,2015_div,2015_fc_rank,2015_race_days,2015_team,2015_uci_rank,2015_wins,2015_year_km,2016_div,2016_fc_rank,2016_race_days,2016_team,2016_uci_rank,2016_wins,2016_year_km,2017_div,2017_fc_rank,2017_race_days,2017_team,2017_uci_rank,2017_wins,2017_year_km,2018_div,2018_fc_rank,2018_race_days,2018_team,2018_uci_rank,2018_wins,2018_year_km,followers,height,mount_jerseys,nation,point_jerseys,sprint_jerseys,total_wins,youth_jerseys,name
262,PROF,285.0,82.0,MTN - Qhubeka,-,2.0,12998.3,PRT,587.0,57.0,Dimension Data,-,0.0,8664.0,PRT,647.0,54.0,Team Dimension Data,-,0.0,8252.6,CONT,446.0,50.0,Sovac - Natura4ever,-,10.0,7125.6,1,,0,Algeria,3,0,9,0,Y.Reguigui
263,PRT,188.0,56.0,BMC Development Team,-,3.0,8511.3,PRT,368.0,53.0,BMC Racing Team,-,1.0,8759.0,PRT,375.0,70.0,BMC Racing Team,410,0.0,11937.1,PROF,235.0,61.0,Roompot - Nederlandse Loterij,-,0.0,10381.5,1,,0,Netherlands,0,0,6,0,F.Gerts
264,PRT,71,77.0,Team Sky,59,1.0,12269.0,PRT,188,42.0,Team Sky,152,0.0,6307.8,PRT,2795,14.0,Bora - Hansgrohe,396,0.0,2288.6,PRT,-,6.0,Bora - Hansgrohe,-,0.0,1007.2,4,,0,Czech Republic,0,0,5,1,L.König
265,PRT,458.0,71.0,Astana Pro Team,-,0.0,11409.2,PRT,475.0,49.0,Astana Pro Team,-,1.0,7950.7,PRT,1178.0,56.0,Astana Pro Team,321,0.0,9074.4,PRT,990.0,48.0,Astana Pro Team,252,0.0,7690.8,0,1.78,1,Kazakhstan,1,0,2,0,R.Tleubayev
266,PROF,408.0,51.0,Bardiani - CSF Pro Team,-,0.0,7832.0,PROF,181.0,61.0,Bardiani - CSF,-,3.0,9390.1,PROF,788.0,25.0,Bardiani - CSF,-,2.0,3796.7,,,,,,,,1,,0,Italy,2,0,17,0,N.Ruffoni
267,PRT,3301,54.0,Tinkoff - Saxo,-,0.0,8836.0,PRT,1357,67.0,Tinkoff,-,0.0,11139.9,PRT,1543,59.0,Bora - Hansgrohe,282,0.0,9592.8,PRT,1205,57.0,Bora - Hansgrohe,373,0.0,8800.4,1,1.73,0,Slovakia,0,0,1,0,J.Sagan
268,CONT,1123.0,13.0,ONE Pro Cycling,-,0.0,2278.1,PROF,330.0,38.0,ONE Pro Cycling,-,3.0,6487.0,CONT,1137.0,16.0,Bike Channel Canyon,-,0.0,2621.7,CONT,1949.0,4.0,Canyon Eisberg,-,0.0,761.0,0,,0,Great Britain,0,0,6,0,C.Opie
269,PRT,303,70.0,Orica - GreenEDGE,81,0.0,11760.4,PRT,155,65.0,Orica - BikeExchange,132,2.0,10825.4,PRT,113,79.0,Orica - Scott,67,1.0,13452.4,PRT,204,72.0,Lotto - Soudal,318,1.0,11265.3,3,1.85,0,Belgium,1,1,7,1,J.Keukeleire
270,,369,42.0,Lotto - Soudal U23,-,1.0,5897.3,PRT,950,51.0,Etixx - Quick Step,-,0.0,8162.8,PRT,220,64.0,Quick-Step Floors,227,0.0,10346.5,PRT,226,42.0,Quick-Step Floors,166,1.0,6106.5,3,,0,Belgium,2,0,2,1,L.De Plus
271,PRT,162,68.0,IAM Cycling,148,0.0,11314.1,PRT,212,52.0,IAM Cycling,72,0.0,8768.0,PRT,1155,12.0,Bahrain - Merida,310,0.0,2367.1,PRT,664,54.0,Bahrain - Merida,177,0.0,8940.3,5,,0,Australia,6,1,3,3,H.Haussler
