,name,nation,age,height,team,year,stage,position,time_in_s,gc,gc_time_in_s,mount_jerseys,point_jerseys,sprint_jerseys,youth_jerseys,followers,total_wins,biker_sys_nr,team_sys_nr,n_tours,n_stages,avg_year,best_pos_ovr,avg_pos_ovr,worst_pos_ovr,best_time_ovr,avg_time_ovr,worst_time_ovr,best_gc_ovr,avg_gc_ovr,worst_gc_ovr,best_gc_time_ovr,avg_gc_time_ovr,worst_gc_time_ovr,n_top10_ovr,n_win_ovr,best_pos_ovr_l3,avg_pos_ovr_l3,worst_pos_ovr_l3,best_time_ovr_l3,avg_time_ovr_l3,worst_time_ovr_l3,best_gc_ovr_l3,avg_gc_ovr_l3,worst_gc_ovr_l3,best_gc_time_ovr_l3,avg_gc_time_ovr_l3,worst_gc_time_ovr_l3,n_top10_l3,n_win_l3,perc_top10_ovr,perc_win_ovr,2015_div,2015_fc_rank,2015_race_days,2015_team,2015_uci_rank,2015_wins,2015_year_km,2016_div,2016_fc_rank,2016_race_days,2016_team,2016_uci_rank,2016_wins,2016_year_km,2017_div,2017_fc_rank,2017_race_days,2017_team,2017_uci_rank,2017_wins,2017_year_km,2018_div,2018_fc_rank,2018_race_days,2018_team,2018_uci_rank,2018_wins,2018_year_km,date,stage_type,stage_type_code,dist,finish,temp,rel_humid,wind_dir,wind_speed,clouds_ovrl,visibility,y_label
20,G.Caruso,Italy,34,1.81,Team Katusha,2014,1,21,20870.0,23,20870.0,3,1,0,0,0,7,525,8441,1,7,2014.0,9,36.285714285714285,101,1940.0,15593.857142857143,20870.0,5,15.571428571428571,23,20870.0,70785.85714285714,109157.0,1.0,0.0,9,43.0,101,1940.0,11685.333333333334,16878.0,5,9.666666666666666,18,90339.0,102237.66666666667,109157.0,1.0,0.0,0.14285714285714285,0.0,PRT,354.0,53.0,Team Katusha,-,0.0,8690.7,,,,,,,,,,,,,,,,,,,,,,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
21,A.Tulik,France,24,1.76,Team Europcar,2014,1,22,20870.0,24,20870.0,0,1,0,1,0,1,6515,3472,1,7,2014.0,22,111.0,158,2004.0,15902.142857142857,20870.0,24,78.71428571428571,116,20870.0,71593.57142857143,111315.0,0.0,0.0,68,106.33333333333333,126,2004.0,12356.333333333334,17715.0,83,95.0,116,91596.0,104074.0,111315.0,0.0,0.0,0.0,0.0,PROF,528,70.0,Team Europcar,-,0.0,11747.9,PROF,828,60.0,Direct Energie,-,0.0,10019.5,PROF,1022,78.0,Direct Energie,-,0.0,12290.8,PROF,640,52.0,Direct Energie,-,0.0,8465.5,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
22,P.Niemiec,Poland,34,1.84,Lampre - Merida,2014,1,23,20870.0,25,20870.0,11,2,0,1,1,5,1836,6418,5,33,2016.0,5,103.54545454545455,999,1841.0,44171.78787878788,999999.0,5,94.72727272727273,999,9801.0,83376.21212121213,999999.0,2.0,0.0,68,72.66666666666667,78,12491.0,13160.666666666666,13774.0,67,71.33333333333333,74,63307.0,76225.66666666667,89572.0,0.0,0.0,0.06060606060606061,0.0,PRT,411.0,70.0,Lampre - Merida,-,0.0,10773.8,PRT,368.0,59.0,Lampre - Merida,-,1.0,9615.5,PRT,1004.0,56.0,UAE Team Emirates,216,0.0,8901.0,PRT,1728.0,34.0,UAE Team Emirates,-,0.0,4660.0,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
23,R.Majka,Poland,25,1.73,Tinkoff - Saxo,2014,1,24,20870.0,26,20870.0,4,1,0,2,7,5,3991,4449,2,14,2015.5,1,26.857142857142858,103,1801.0,14762.5,20870.0,1,20.071428571428573,103,10576.0,62223.642857142855,108978.0,5.0,2.0,3,11.0,22,10784.0,13716.666666666666,17986.0,2,2.3333333333333335,3,67307.0,83423.0,97669.0,2.0,0.0,0.35714285714285715,0.14285714285714285,PRT,26,85.0,Tinkoff - Saxo,33,1.0,13382.2,PRT,34,75.0,Tinkoff,43,0.0,11990.5,PRT,38,72.0,Bora - Hansgrohe,32,4.0,11600.9,PRT,38,76.0,Bora - Hansgrohe,71,0.0,11597.0,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
24,O.Zaugg,Switzerland,33,1.70,Tinkoff - Saxo,2014,1,25,20870.0,27,20870.0,0,0,0,0,1,0,363,4449,1,7,2014.0,16,52.714285714285715,112,1970.0,15639.0,20870.0,27,33.0,57,20870.0,70908.71428571429,109473.0,0.0,0.0,16,66.0,112,1970.0,11790.666666666666,16906.0,29,39.0,57,90597.0,102524.33333333333,109473.0,0.0,0.0,0.0,0.0,PRT,1388.0,28.0,Tinkoff - Saxo,-,0.0,4289.5,PRT,1818.0,47.0,IAM Cycling,-,0.0,7369.5,,,,,,,,,,,,,,,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
25,M.Rutkiewicz,Poland,33,,CCC Polsat Polkowice,2014,1,26,20870.0,28,20870.0,7,7,0,0,1,10,746,3733,5,29,2015.9310344827586,12,127.24137931034483,999,1869.0,82013.24137931035,999999.0,7,119.93103448275862,999,9801.0,119122.55172413793,999999.0,0.0,0.0,89,398.6666666666667,999,13305.0,343261.0,999999.0,86,391.6666666666667,999,50422.0,371382.6666666667,999999.0,0.0,0.0,0.0,0.0,PROF,1869.0,63.0,CCC Sprandi Polkowice,-,0.0,10059.4,CONT,532.0,22.0,Wibatech - Fuji,-,2.0,3325.9,CONT,320.0,40.0,Wibatech - Fuji,-,4.0,5798.9,CONT,646.0,38.0,Wibatech Merx 7R,-,0.0,5088.3,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
26,P.Martens,Germany,31,1.78,Belkin Pro Cycling Team,2014,1,27,20870.0,29,20870.0,0,0,0,0,1,3,369,3482,1,7,2014.0,27,77.71428571428571,114,1890.0,15802.142857142857,20870.0,29,72.42857142857143,90,20870.0,71347.85714285714,110615.0,0.0,0.0,54,78.0,106,1890.0,12154.333333333334,17571.0,65,75.0,90,91154.0,103498.0,110615.0,0.0,0.0,0.0,0.0,PRT,350,59.0,Team LottoNL-Jumbo,182,0.0,9956.2,PRT,852,71.0,Team LottoNL-Jumbo,-,0.0,11463.2,PRT,560,75.0,Team LottoNL - Jumbo,167,0.0,12785.8,PRT,1105,70.0,Team LottoNL - Jumbo,235,0.0,11096.6,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
27,P.Weening,Netherlands,33,1.86,Orica - GreenEDGE,2014,1,28,20870.0,30,20870.0,3,0,0,0,1,6,300,4434,1,7,2014.0,14,58.42857142857143,128,2030.0,15661.42857142857,20870.0,11,32.857142857142854,44,20870.0,70908.14285714286,109630.0,0.0,0.0,14,60.333333333333336,128,2030.0,11843.0,17261.0,11,26.666666666666668,36,90339.0,102523.0,109630.0,0.0,0.0,0.0,0.0,PRT,695.0,69.0,Orica - GreenEDGE,-,0.0,11367.3,PROF,231.0,69.0,Roompot - Oranje Peloton,-,3.0,10873.1,PROF,179.0,71.0,Roompot - Nederlandse Loterij,-,1.0,10915.5,PROF,201.0,66.0,Roompot - Nederlandse Loterij,-,1.0,10808.2,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
28,W.Barguil,France,23,1.83,Team Giant - Shimano,2014,1,29,20870.0,31,20870.0,4,2,0,3,5,3,6104,3469,1,7,2014.0,5,46.857142857142854,101,1891.0,15586.857142857143,20870.0,7,26.285714285714285,46,20870.0,70778.85714285714,109108.0,2.0,0.0,5,29.0,75,1891.0,11669.0,16878.0,7,11.0,14,90339.0,102221.33333333333,109108.0,2.0,0.0,0.2857142857142857,0.0,PRT,121,61.0,Team Giant - Alpecin,108,0.0,10416.0,PRT,73,51.0,Team Giant - Alpecin,30,0.0,8566.8,PRT,51,64.0,Team Sunweb,37,2.0,10439.4,PROF,96,65.0,Team Fortuneo - Samsic,-,0.0,10472.5,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
29,D.Cunego,Italy,33,1.69,Lampre - Merida,2014,1,30,20870.0,32,20870.0,1,3,0,1,6,31,149,6418,1,6,2014.0,30,213.5,999,13167.0,181725.83333333334,999999.0,27,197.83333333333334,999,20870.0,213190.5,999999.0,0.0,0.0,30,375.6666666666667,999,16255.0,345621.0,999999.0,27,357.3333333333333,999,74101.0,388152.0,999999.0,0.0,0.0,0.0,0.0,PROF,151.0,53.0,Nippo - Vini Fantini,-,0.0,8791.3,PROF,384.0,62.0,Nippo - Vini Fantini,-,0.0,10058.7,PROF,531.0,53.0,Nippo - Vini Fantini,-,1.0,8297.2,PROF,1503.0,47.0,Nippo Vini Fantini - Europa Ovini,-,0.0,6029.4,2014-08-03,flat,1,226.0,Bygdoszcz,31.5,38,ESE,2,6,9,0
